ID,StateName,ClassName,PNGFilename,CollisionFilename
0,Splash,PNGRoom,assets/Splash.png,
1,Instructions,InstructionsScreen,assets/Instructions.png,
2,MapInstructions,PNGRoom,assets/MapInstructions.png,
3,Room1,Room1Page,assets/background1.png,assets/room1cl.csv
4,Room2,Room2Page,assets/background2.png,assets/room2cl.csv
5,Room3,Room3Page,assets/background3.png,assets/room3cl.csv
6,Room4,Room4Page,assets/background4.png,assets/room4cl.csv
7,Room5,Room5Page,assets/background5.png,assets/room5cl.csv
8,Room6,Room6Page,assets/background6.png,assets/room6cl.csv
9,Room7,Room7Page,assets/background7.png,assets/room7cl.csv
10,GoodEnding,PNGRoom,assets/GoodEnding.png,
11,BadEnding,PNGRoom,assets/BadEnding.png,
